CGKG_ID	Uniprot_ID	GEM_ID	InterPro	KEGG_ID	CGL_RS_ID	NCgl_ID	Cgl_ID	cg_ID	CoryneRegNet_ID	Gene_Name	Gene_Type	EC_Number	Genome_Info
CGKG_G00012	Q8NUC6		IPR002205#IPR005743#IPR006691#IPR013757#IPR013758#IPR013760#IPR024946	Cgl0013	CGL_RS00060	NCgl0012	Cgl0013	cg0015		gyrA	Enzyme	5.6.2.2	"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_003855346.1', 'Product': 'DNA gyrase subunit A', 'Start': '11830', 'End': '14401', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599264.1', 'Product': 'DNA gyrase (topoisomerase II) A subunit', 'Start': '11830', 'End': '14401', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97406.1', 'Product': 'DNA gyrase (topoisomerase II) A subunit', 'Start': '11830', 'End': '14401', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18578.1', 'Product': 'DNA TOPOISOMERASE (ATP-HYDROLYSING)', 'Start': '11830', 'End': '14401', 'Strand': '+'}]"
CGKG_G00013	Q8NUC5		IPR021949	Cgl0014	CGL_RS00065	NCgl0013	Cgl0014	cg0016			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_003860996.1', 'Product': 'DUF3566 domain-containing protein', 'Start': '14404', 'End': '14749', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599265.1', 'Product': 'hypothetical membrane protein', 'Start': '14404', 'End': '14749', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97407.1', 'Product': 'tRNA-Ala', 'Start': '14938', 'End': '15011', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18579.1', 'Product': 'PUTATIVE INTEGRAL MEMBRANE PROTEIN', 'Start': '14404', 'End': '14749', 'Strand': '+'}]"
CGKG_G00014					CGL_RS00070	NCg1t01					Gene		"[{'Reference_Genome': 'NC_003450.3', 'Product': 'tRNA-Ile', 'Start': '14850', 'End': '14927', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Product': 'tRNA-Ile', 'Start': '14850', 'End': '14927', 'Strand': '+'}]"
CGKG_G00015					CGL_RS00075	NCg1t02					Gene		"[{'Reference_Genome': 'NC_003450.3', 'Product': 'tRNA-Ala', 'Start': '14938', 'End': '15011', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Product': 'tRNA-Ala', 'Start': '14938', 'End': '15011', 'Strand': '+'}]"
CGKG_G00016	Q6M8W7		IPR018383	Cgl0015	CGL_RS00080	NCgl0014	Cgl0015	cg0018			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011265442.1', 'Product': 'YeiH family protein', 'Start': '15205', 'End': '16243', 'Strand': '-'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599266.1', 'Product': 'uncharacterized membrane protein', 'Start': '15205', 'End': '16132', 'Strand': '-'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97408.1', 'Product': 'Uncharacterized membrane protein', 'Start': '15205', 'End': '16243', 'Strand': '-'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18580.1', 'Product': 'HYPOTHETICAL MEMBRANE PROTEIN', 'Start': '15205', 'End': '16243', 'Strand': '-'}]"
CGKG_G00017	Q8NUC3		IPR000847#IPR005119#IPR011991	Cgl0016	CGL_RS00085	NCgl0015	Cgl0016	cg0019			TF		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013318.1', 'Product': 'LysR family transcriptional regulator', 'Start': '16313', 'End': '17210', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599267.1', 'Product': 'transcriptional regulator', 'Start': '16313', 'End': '17210', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97409.1', 'Product': 'Transcriptional regulator', 'Start': '16313', 'End': '17210', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18581.1', 'Product': 'Bacterial regulatory protein, LysR family', 'Start': '16313', 'End': '17210', 'Strand': '+'}]"
CGKG_G00018	Q8NUC2		IPR018958	Cgl0017	CGL_RS00090	NCgl0016	Cgl0017	cg0021			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013319.1', 'Product': 'SMI1/KNR4 family protein', 'Start': '17259', 'End': '17673', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599268.1', 'Product': 'hypothetical protein', 'Start': '17259', 'End': '17673', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97410.1', 'Product': 'Hypothetical protein', 'Start': '17250', 'End': '17673', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18582.1', 'Product': 'hypothetical protein predicted by Glimmer/Critica', 'Start': '17250', 'End': '17673', 'Strand': '+'}]"
CGKG_G00019	Q8NUC1		IPR003834	Cgl0018	CGL_RS00095	NCgl0017	Cgl0018	cg0025			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013320.1', 'Product': 'cytochrome c biogenesis CcdA family protein', 'Start': '17856', 'End': '18729', 'Strand': '-'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599269.1', 'Product': 'cytochrome C biogenesis protein', 'Start': '17856', 'End': '18729', 'Strand': '-'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97411.1', 'Product': 'Cytochrome c biogenesis protein', 'Start': '17856', 'End': '18729', 'Strand': '-'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18583.1', 'Product': 'PUTATIVE INTEGRAL MEMBRANE CYTOCHROME BIOGENESIS PROTEIN', 'Start': '17856', 'End': '18729', 'Strand': '-'}]"
CGKG_G00020	Q8NUC0		IPR012336	Cgl0019	CGL_RS00100	NCgl0018	Cgl0019	cg0026			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011265444.1', 'Product': 'DsbA family protein', 'Start': '18732', 'End': '19479', 'Strand': '-'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599270.1', 'Product': 'protein-disulfide isomerase', 'Start': '18732', 'End': '19497', 'Strand': '-'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97412.1', 'Product': 'Protein-disulfide isomerase', 'Start': '18732', 'End': '19497', 'Strand': '-'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18584.1', 'Product': 'HCCA ISOMERASE, secreted protein', 'Start': '18732', 'End': '19479', 'Strand': '-'}]"
CGKG_G00021	Q8NUB9		IPR005650#IPR011991	Cgl0020	CGL_RS00105	NCgl0019	Cgl0020	cg0027			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013322.1', 'Product': 'BlaI/MecI/CopY family transcriptional regulator', 'Start': '19704', 'End': '20076', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599271.1', 'Product': 'hypothetical transcriptional regulator', 'Start': '19704', 'End': '20076', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97413.1', 'Product': 'Hypothetical protein', 'Start': '19704', 'End': '20076', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18585.1', 'Product': 'Regulatory protein, MarR family', 'Start': '19704', 'End': '20076', 'Strand': '+'}]"
CGKG_G00022	Q8NUB8		IPR001915	Cgl0021	CGL_RS00110	NCgl0020	Cgl0021	cg0029			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013323.1', 'Product': 'M56 family metallopeptidase', 'Start': '20072', 'End': '21068', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599272.1', 'Product': 'Zn-dependent protease with chaperone function', 'Start': '20072', 'End': '21068', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97414.1', 'Product': 'Zn-dependent protease with chaperone function', 'Start': '20072', 'End': '21068', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18586.1', 'Product': 'protease with chaperone function', 'Start': '20198', 'End': '21068', 'Strand': '+'}]"
CGKG_G00023					CGL_RS00115			cg0031			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_174694926.1', 'Product': 'hypothetical protein', 'Start': '21070', 'End': '21241', 'Strand': '-'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18587.1', 'Product': 'reductase related to diketogulonate reductase', 'Start': '21070', 'End': '21247', 'Strand': '-'}]"
CGKG_G00024	Q8NUB7			Cgl0022	CGL_RS00120	NCgl0021	Cgl0022	cg0034			Enzyme	3.1.3.5	"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_231838301.1', 'Product': 'metallophosphoesterase', 'Start': '21563', 'End': '22127', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599274.1', 'Product': '5-nucleotidase/2,3-cyclic phosphodiesterase or related esterase', 'Start': '21596', 'End': '22127', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97415.1', 'Product': '5-nucleotidase/2,3-cyclic phosphodiesterase and related esterases', 'Start': '21596', 'End': '22127', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18589.1', 'Product': '5-NUCLEOTIDASE (putative pseudogene)', 'Start': '21596', 'End': '22127', 'Strand': '+'}]"
CGKG_G00025	Q8NUB6			Cgl0023	CGL_RS00125	NCgl0022	Cgl0023	cg0035			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013325.1', 'Product': '5-nucleotidase', 'Start': '22163', 'End': '23402', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599275.1', 'Product': '5-nucleotidase/2,3-cyclic phosphodiesterase or related esterase', 'Start': '22163', 'End': '23402', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97416.1', 'Product': 'tRNA-Ala', 'Start': '23990', 'End': '24063', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18590.1', 'Product': '5-NUCLEOTIDASE (putative pseudogene)', 'Start': '22163', 'End': '23402', 'Strand': '+'}]"
CGKG_G00026					CGL_RS00130	NCg1t03					Gene		"[{'Reference_Genome': 'NC_003450.3', 'Product': 'tRNA-Ala', 'Start': '23499', 'End': '23572', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Product': 'tRNA-Ala', 'Start': '23499', 'End': '23572', 'Strand': '+'}]"
CGKG_G00027					CGL_RS00135			cg0037		tnp22a(ISCg22a)	Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011265448.1', 'Product': 'hypothetical protein', 'Start': '23611', 'End': '23779', 'Strand': '-'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18591.1', 'Product': 'transposase-fragment', 'Start': '23611', 'End': '23779', 'Strand': '-'}]"
CGKG_G00028					CGL_RS00140	NCg1t04					Gene		"[{'Reference_Genome': 'NC_003450.3', 'Product': 'tRNA-Ile', 'Start': '23902', 'End': '23979', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Product': 'tRNA-Ile', 'Start': '23902', 'End': '23979', 'Strand': '+'}]"
CGKG_G00029					CGL_RS00145	NCg1t05					Gene		"[{'Reference_Genome': 'NC_003450.3', 'Product': 'tRNA-Ala', 'Start': '23990', 'End': '24063', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Product': 'tRNA-Ala', 'Start': '23990', 'End': '24063', 'Strand': '+'}]"
CGKG_G00030	Q8NUB5		IPR003718#IPR015946#IPR019953	Cgl0024	CGL_RS00150	NCgl0023	Cgl0024	cg0038			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013326.1', 'Product': 'organic hydroperoxide resistance protein', 'Start': '24294', 'End': '24732', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599276.2', 'Product': 'stress-induced protein', 'Start': '24294', 'End': '24732', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97417.1', 'Product': 'Stress-induced protein', 'Start': '24294', 'End': '24732', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18592.1', 'Product': 'ORGANIC HYDROPEROXIDE RESISTANCE PROTEIN', 'Start': '24213', 'End': '24732', 'Strand': '+'}]"
CGKG_G00031	Q8NUB4		IPR005471#IPR007421#IPR011991#IPR025831	Cgl0025	CGL_RS00155	NCgl0024	Cgl0025	cg0039			Gene	3.6.1.-	"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013327.1', 'Product': 'ATP-binding protein', 'Start': '24881', 'End': '26573', 'Strand': '-'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599277.1', 'Product': 'predicted transcriptional regulator', 'Start': '24881', 'End': '26573', 'Strand': '-'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97418.1', 'Product': 'Predicted transcriptional regulator containing an HTH domain and an uncharacterized domain shared with the mammalian protein Schlafen', 'Start': '24881', 'End': '26297', 'Strand': '-'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18593.1', 'Product': 'putative transcriptional regulator', 'Start': '24881', 'End': '26573', 'Strand': '-'}]"
CGKG_G00032	Q8NUB3		IPR011044#IPR015943	Cgl0026	CGL_RS00160	NCgl0025	Cgl0026	cg0040		aztD	Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013328.1', 'Product': 'zinc metallochaperone AztD', 'Start': '26818', 'End': '28099', 'Strand': '-'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599278.1', 'Product': 'hypothetical protein', 'Start': '26818', 'End': '28099', 'Strand': '-'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97419.1', 'Product': 'Hypothetical protein', 'Start': '26818', 'End': '28099', 'Strand': '-'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18594.1', 'Product': 'PUTATIVE SECRETED PROTEIN', 'Start': '26818', 'End': '28099', 'Strand': '-'}]"
CGKG_G00033	Q8NUB2	Cgl0027	IPR006127#IPR006128#IPR006129	Cgl0027	CGL_RS00165	NCgl0026	Cgl0027	cg0041			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013329.1', 'Product': 'metal ABC transporter substrate-binding protein', 'Start': '28160', 'End': '29117', 'Strand': '-'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599279.1', 'Product': 'ABC-type transporter, periplasmic component', 'Start': '28160', 'End': '29117', 'Strand': '-'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97420.1', 'Product': 'ABC-type transporter, periplasmic component', 'Start': '28160', 'End': '29117', 'Strand': '-'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18595.1', 'Product': 'PUTATIVE SOLUTE-BINDING LIPOPROTEIN, signal peptid', 'Start': '28160', 'End': '29117', 'Strand': '-'}]"
CGKG_G00034	Q8NUB1	Cgl0028	IPR001626#IPR029022	Cgl0028	CGL_RS00170	NCgl0027	Cgl0028	cg0042		aztB	Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013330.1', 'Product': 'zinc ABC transporter permease AztB', 'Start': '29113', 'End': '29965', 'Strand': '-'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599280.1', 'Product': 'ABC-type transporter, permease component', 'Start': '29113', 'End': '29965', 'Strand': '-'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97421.1', 'Product': 'ABC-type transporter, permease components', 'Start': '29113', 'End': '29965', 'Strand': '-'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18596.1', 'Product': 'ABC TRANSPORTER PROTEIN, INTEGRAL MEMBRANE SUBUNIT', 'Start': '29113', 'End': '29965', 'Strand': '-'}]"
CGKG_G00035	Q8NUB0	Cgl0029	IPR003439#IPR003593#IPR017871#IPR027417	Cgl0029	CGL_RS00175	NCgl0028	Cgl0029	cg0043		aztA	Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013331.1', 'Product': 'zinc ABC transporter ATP-binding protein AztA', 'Start': '29994', 'End': '30654', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599281.1', 'Product': 'ABC-type transporter, ATPase component', 'Start': '29994', 'End': '30654', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97422.1', 'Product': 'ABC-type transporter, ATPase component', 'Start': '29994', 'End': '30654', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18597.1', 'Product': 'ABC TRANSPORT PROTEIN, ATP-BINDING SUBUNIT', 'Start': '29994', 'End': '30654', 'Strand': '+'}]"
